"UAI";"Etablissement";"Référence.GALAXIE";"N..dans.le.SI.local";"Article";"Corps";"Chaire";"Section";"Section2";"Section3";"Date.de.prise.de.fonction";"Date.ouverture.cand";"Date.clôture.cand";"Profil";"Localisation";"Etat.de.vacance";"Annee"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"650 * ";"52414";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Théorie du droit Droit civil";"Aix en Provence";"";2018
"0141408E";"UNIVERSITE DE CAEN";"4391 * ";"";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"DROIT DE L'ENTREPRISE";"CAEN";"";2018
"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";"4331 * ";"0100MCF0279";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Droit de la famille, droit des personnes, droit de la santé";"Brest";"S";2018
"0333298F";"UNIVERSITE DE BORDEAUX";"330";"1132";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"06/02/2018";"08/03/2018";"Institut d'études judiciaires, Philosophie du droit, Droit social, Droit international privé";"BORDEAUX";"";2018
"0333298F";"UNIVERSITE DE BORDEAUX";"332";"1269";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"06/02/2018";"08/03/2018";"Droit Fiscal";"PESSAC";"";2018
"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";"4220 * ";"365";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Droit prive";"Montpellier";"";2018
"0342321N";"UNIVERSITE DE MONTPELLIER";"245 * ";"0221";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Le poste requiert une compétence particulière pour enseigner et participer à des recherches dans le domaine du droit des entreprises et notamment en droit patrimonial de l¿entreprise.";"Montpellier";"";2018
"0350936C";"UNIVERSITE RENNES 1";"4447 * ";"01MCF0588";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Enseignement droit civil.Projet de recherche à l'intersection de plusieurs axes de IODE ou projet de recherche portant sur les transformations numériques ou projet de recherche interdisciplinaire";"RENNES";"";2018
"0370770L";"UNIVERSITE DE TOURS (IUT TOURS)";"4391";"0472";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"09/02/2018";"12/03/2018";"Droit civil - Droit des affaires";"IUT de Tours";"";2018
"0370800U";"UNIVERSITE DE TOURS";"4367";"0829";"26-I-1";"MCF";"Non";1;NA;NA;"01/09/2018";"09/02/2018";"12/03/2018";"Droit privé et sciences criminelles";"UFR Droit";"S";2018
